Area,Safety_index,Safety_index_code,Safety_index_code_val,count,Chain Snatching,Petty Robbery,Taking pictures without permission,Sexual Invites,Catcalls/Whistles,Commenting,Ogling/Lewd Facial Expressions/Staring,Touching /Groping,Others,Stalking,Poor / No Street Lighting,Indecent exposure,Indecent Exposure/Masturbation in public,Rape / Sexual Assault,North East India Report,Human Trafficking,Online Harassment,Quarter 3 : 12 Noon to 6 PM,Quarter 4 : 6 PM to 12 Midnight,Quarter 1 : 12 Midnight to 6 AM,Quarter 2 : 6 AM to 12 Noon
Adarsh Nagar,0.18082265,Green,2,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
Adchini,0.028571429,Green,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AIIMS,0.065710846,Green,2,11,0,0,0,0,5,2,1,3,0,0,0,0,0,0,0,0,0,1,3,5,2
Ajmeri Gate,0.128638743,Green,2,14,0,0,1,0,5,4,0,2,2,0,0,0,0,0,0,0,0,0,3,9,2
Akbar Road,0.004098361,Green,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alaknanda,0.026452443,Green,2,6,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,2,3,1,0
Alipur,0.111283538,Green,2,10,1,0,0,0,4,2,1,0,0,2,0,0,0,0,0,0,0,0,4,2,4
Anand Parbat,0.007575758,Green,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Anand Vihar,0.121468434,Green,2,20,0,0,0,0,4,6,5,3,0,0,2,0,0,0,0,0,0,4,4,11,1
Andrews Ganj,0.018566204,Green,2,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Ashok Nagar,0.035003209,Green,2,5,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,3,1
Ashok Vihar,0.055861286,Green,2,8,0,0,0,0,3,3,1,0,0,1,0,0,0,0,0,0,0,1,3,4,0
Aya Nagar,0.029926108,Green,2,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0
Ayurvigyan Nagar,0.133333333,Green,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
Azadpur,0.104200127,Green,2,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0
